timestamp,host,backend,backend_version,device,op,rows,n_keys,skew,str_cols,str_len,warmup,reps,median_s,times_s,seed
2026-07-14T09:25:46.085414+00:00,90481ad98384,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,0.0,0,12,1,7,0.032690,"[0.03124, 0.040204, 0.033959, 0.03021, 0.033863, 0.03269, 0.024375]",0
2026-07-14T09:25:52.841927+00:00,90481ad98384,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,1.5,0,12,1,7,0.035885,"[0.048271, 0.048062, 0.043229, 0.035885, 0.035113, 0.035256, 0.035113]",0
2026-07-14T09:26:00.117740+00:00,90481ad98384,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,0.0,1,12,1,7,0.025628,"[0.025719, 0.025576, 0.025618, 0.025634, 0.025781, 0.025628, 0.023765]",0
2026-07-14T09:26:08.448804+00:00,90481ad98384,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,1.5,1,12,1,7,0.036296,"[0.046813, 0.046624, 0.046803, 0.036296, 0.031519, 0.031692, 0.03184]",0
2026-07-14T09:26:20.569200+00:00,90481ad98384,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,0.0,2,12,1,7,0.028754,"[0.028833, 0.028754, 0.029918, 0.028698, 0.02864, 0.029796, 0.027935]",0
2026-07-14T09:26:32.865763+00:00,90481ad98384,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,1.5,2,12,1,7,0.046734,"[0.046734, 0.046921, 0.047067, 0.047698, 0.037738, 0.03045, 0.030435]",0
2026-07-14T09:26:44.499581+00:00,90481ad98384,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,0.0,0,12,1,7,1.066584,"[1.066584, 1.180705, 1.671197, 1.84937, 0.79594, 0.691469, 0.714465]",0
2026-07-14T09:26:48.546782+00:00,90481ad98384,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,1.5,0,12,1,7,0.285752,"[0.300859, 0.281661, 0.285752, 0.30426, 0.283838, 0.281523, 0.288952]",0
2026-07-14T09:27:01.187106+00:00,90481ad98384,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,0.0,1,12,1,7,0.680739,"[0.671499, 0.96307, 0.752494, 0.677725, 0.680739, 0.682551, 0.661149]",0
2026-07-14T09:27:10.567864+00:00,90481ad98384,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,1.5,1,12,1,7,0.284840,"[0.297887, 0.283059, 0.280147, 0.288272, 0.298379, 0.280818, 0.28484]",0
