timestamp,host,backend,backend_version,device,op,rows,n_keys,skew,str_len,warmup,reps,median_s,times_s,seed
2026-07-14T09:12:03.970129+00:00,35cc7d1c65cd,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,0.0,12,1,5,0.028579,"[0.028368, 0.028518, 0.029495, 0.028596, 0.028579]",0
2026-07-14T09:12:06.266011+00:00,35cc7d1c65cd,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,0.25,12,1,5,0.028449,"[0.028882, 0.02904, 0.028444, 0.028348, 0.028449]",0
2026-07-14T09:12:08.480573+00:00,35cc7d1c65cd,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,0.5,12,1,5,0.027855,"[0.028037, 0.027799, 0.027861, 0.027828, 0.027855]",0
2026-07-14T09:12:10.513043+00:00,35cc7d1c65cd,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,0.75,12,1,5,0.026310,"[0.02642, 0.02631, 0.026312, 0.025998, 0.021592]",0
2026-07-14T09:12:12.481076+00:00,35cc7d1c65cd,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,1.0,12,1,5,0.026648,"[0.026567, 0.027861, 0.027552, 0.026309, 0.026648]",0
2026-07-14T09:12:14.263304+00:00,35cc7d1c65cd,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,1.25,12,1,5,0.027871,"[0.028114, 0.027455, 0.02788, 0.027408, 0.027871]",0
2026-07-14T09:12:15.425244+00:00,35cc7d1c65cd,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,1.5,12,1,5,0.028282,"[0.028391, 0.028177, 0.028341, 0.028259, 0.028282]",0
2026-07-14T09:12:16.533465+00:00,35cc7d1c65cd,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,1.75,12,1,5,0.033366,"[0.033419, 0.033396, 0.033366, 0.03334, 0.033348]",0
2026-07-14T09:12:17.613840+00:00,35cc7d1c65cd,cudf,26.02.01,Tesla T4,groupby_agg,10000000,,2.0,12,1,5,0.038012,"[0.038064, 0.038012, 0.03799, 0.037965, 0.038086]",0
2026-07-14T09:12:26.552752+00:00,35cc7d1c65cd,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,0.0,12,1,5,1.174994,"[0.786776, 0.769162, 1.174994, 1.43113, 2.343402]",0
2026-07-14T09:12:33.988220+00:00,35cc7d1c65cd,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,0.25,12,1,5,0.725229,"[0.713961, 0.726075, 0.75075, 0.697626, 0.725229]",0
2026-07-14T09:12:41.295640+00:00,35cc7d1c65cd,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,0.5,12,1,5,1.006373,"[0.788124, 1.016673, 1.006373, 1.037937, 0.755234]",0
2026-07-14T09:12:47.097979+00:00,35cc7d1c65cd,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,0.75,12,1,5,0.674180,"[0.687627, 0.699277, 0.665558, 0.67418, 0.666045]",0
2026-07-14T09:12:52.701301+00:00,35cc7d1c65cd,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,1.0,12,1,5,0.683725,"[0.611179, 0.591589, 0.683725, 0.852458, 0.89152]",0
2026-07-14T09:12:56.302619+00:00,35cc7d1c65cd,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,1.25,12,1,5,0.393526,"[0.404276, 0.393526, 0.389048, 0.413691, 0.392605]",0
2026-07-14T09:12:58.994199+00:00,35cc7d1c65cd,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,1.5,12,1,5,0.304236,"[0.304236, 0.293295, 0.306153, 0.296785, 0.321051]",0
2026-07-14T09:13:01.219021+00:00,35cc7d1c65cd,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,1.75,12,1,5,0.236454,"[0.233111, 0.236454, 0.233475, 0.249484, 0.23793]",0
2026-07-14T09:13:03.244905+00:00,35cc7d1c65cd,polars,1.35.2,cpu (x86_64),groupby_agg,10000000,,2.0,12,1,5,0.211542,"[0.210891, 0.209924, 0.219482, 0.235587, 0.211542]",0
2026-07-14T09:13:07.685343+00:00,35cc7d1c65cd,cudf,26.02.01,Tesla T4,groupby_agg,10000000,10,0.0,12,1,5,0.020572,"[0.024232, 0.023256, 0.019467, 0.020572, 0.020497]",0
